flight_sk,flight_id,ambiguous_id,airline,source,destination,route,departure_time,arrival_time,duration_minutes,is_overnight,data_quality_flag,is_duration_anomaly
SJ010,SJ010,False,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,clean,False
AI155,AI155,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,clean,False
UK094,UK094,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,clean,False
AI245,AI245,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,clean,False
AI192,AI192,False,Air India,MAA,BOM,MAA-BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,clean,False
SJ158,SJ158,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,clean,False
6F196,6F196,False,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,clean,False
AI080,AI080,False,Air India,BOM,HYD,BOM-HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,clean,False
6F025,6F025,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,clean,False
6F251,6F251,False,IndiGo,DEL,BLR,DEL-BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,clean,False
AI137,AI137,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,clean,False
6F026,6F026,False,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,clean,False
UK167,UK167,False,Vistara,DEL,MAA,DEL-MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,clean,False
UK027,UK027,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,clean,False
AI069,AI069,False,Air India,DEL,BOM,DEL-BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,clean,False
AI058,AI058,False,Air India,BOM,CCU,BOM-CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,clean,False
AI140,AI140,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,clean,False
SJ239,SJ239,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,True,clean,False
6F099,6F099,False,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,clean,False
AI048,AI048,False,Air India,CCU,DEL,CCU-DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,True,clean,False
